Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,VisitorType,Weekend,Revenue,TotalPages,TotalDuration,PagesPerSecond,EngagementScore,PageValuePerPage,ProductFocus,HighBounce,HighExit,ActiveBuyer,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,ReturningVisitorFlag,ProductEngagement,InfoEfficiency,AdminEfficiency,PersonaCluster,PersonaType
0.0,0.0,0.0,0,0.00141844,0.0,1.0,1.0,0.0,0.0,2,0,0,0.001340483,0.0,0.076923077,0.0,0.0,0.501937984,1,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.002836879,0.018804797,0.0,0.5,0.0,0.0,2,0,0,0.002680965,0.017581756,0.002366864,0.017581756,0.0,0.669250646,0,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.00141844,0.0,1.0,1.0,0.0,0.0,2,0,0,0.001340483,0.0,0.076923077,0.0,0.0,0.501937984,1,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.002836879,0.000783533,0.25,0.7,0.0,0.0,2,0,0,0.002680965,0.000732573,0.041958042,0.000695945,0.0,0.669250646,0,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.014184397,0.184375158,0.1,0.25,0.0,0.0,2,1,0,0.013404826,0.172383626,0.001223915,0.168935954,0.0,0.912614517,0,0,1,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.026950355,0.045312705,0.07894737,0.12280702,0.0,0.0,2,0,0,0.025469169,0.042365623,0.009416118,0.041696692,0.0,0.953682171,0,0,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.00141844,0.0,1.0,1.0,0.0,0.4,2,0,0,0.001340483,0.0,0.076923077,0.0,0.0,0.501937984,1,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.037037037,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,1,0,0.001340483,0.0,0.076923077,0.0,0.0,0.0,1,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.002836879,0.010871523,0.0,0.5,0.0,0.8,2,0,0,0.002680965,0.010164453,0.004048583,0.010164453,0.0,0.669250646,0,1,0,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
0.0,0.0,0.0,0,0.004255319,0.216842816,0.0,0.11111111,0.0,0.4,2,0,0,0.004021448,0.202739627,0.000312272,0.202739627,0.0,0.752906977,0,0,1,False,False,True,False,False,False,False,False,False,False,0,0.0,0,0.0,0,Segment_9
